QA spot-check (Aug 2026): diverse Wikidata name-match enrichment (pass 1)
  1,283 POIs enriched via cached SPARQL index (2,858 items): 499 exact + 784 containment
  Containment guards: >=2 name tokens, item geolocated <=100km from POI.
  Thumbnails (640px via Special:FilePath?width=640) hosted on ATHAR MinIO 127.0.0.1:19000.

First 200 enriched POIs (name | category | featured | attribution):
  (Ain Fezza) | restaurant | - | Wikidata Q2876331 (ain fezza) exact, image A%C3%AFn%20Fezzaa%20%D8%B9%D9%8A%D9%86%20%D9%81%D8%B2%D8%A9.jpg
  ADJAHIL | natural | Y | Wikidata Q13374888 (adjahil) exact, image Porte%20du%20ksar%20Adjahil%201.jpg
  AIN EL HAMMAM | natural | - | Wikidata Q276935 (ain el hammam) exact, image Mairie%20de%20Ain%20El%20Hammam.JPG
  AIN FEZZA | natural | - | Wikidata Q2876331 (ain fezza) exact, image A%C3%AFn%20Fezzaa%20%D8%B9%D9%8A%D9%86%20%D9%81%D8%B2%D8%A9.jpg
  AIN KERMA | natural | - | Wikidata Q23829933 (ain kerma) exact, image The%20Source%20by%20the%20Fig%20Tree%20at%20A%C3%AFn%20Kerma%20-%20Gustave%20Achille%20Guillaumet%20-%20Paris%201863%20%E2%80%93%201874-%20Revolution%20in%20der%20Kunst-4630.jpg
  AIN MADAGH | natural | Y | Wikidata Q3275202 (madagh) containment, image Madegh%202007%20005.jpg
  AIN SIDI AISSA | natural | - | Wikidata Q2214999 (sidi aissa) containment, image Sidi%20aissa.JPG
  AIN SKHOUNA | natural | - | Wikidata Q2876370 (ain skhouna) exact, image %D8%B9%D9%8A%D9%86%20%D8%A7%D9%84%D8%B3%D8%AE%D9%88%D9%86%D8%A9.jpg
  APC el harrach | historical | - | Wikidata Q105748702 (el harrach) containment, image Photo%20el%20harrach%2026112016.jpg
  Aarch Mouzaïa ⵄⴻⵕⵛ ⵎⵓⵣⴰⵢⴰ عرش موزاية | natural | - | Wikidata Q1649746 (mouzaia) containment, image Mouzaia.JPG
  Achir | historical | - | Wikidata Q2401317 (achir) exact, image ARachir.JPG
  Adjahil أجاهيل | mountain | - | Wikidata Q13374888 (adjahil) exact, image Porte%20du%20ksar%20Adjahil%201.jpg
  Adrar | natural | - | Wikidata Q188166 (adrar) exact, image GrandErgOccidental%20STS059-238-88.jpg
  Adrar Babor | mountain | - | Wikidata Q2877944 (babor) containment, image EL%20BABOR%20Mountains.jpg
  Adrar Tamgut | mountain | - | Wikidata Q3216533 (tamgut) containment, image Tamgutar.JPG
  Aghlad | historical | - | Wikidata Q2826836 (aghlad) exact, image Ksar%20Aghlad%2001.jpg
  Albulae | historical | - | Wikidata Q2831972 (albulae) exact, image Chapiteau%20Albulae.JPG
  Alger Plage Café | cafe | - | Wikidata Q141026 (alger) containment, image I%20love%20Algiers.jpg
  Alma | cafe | - | Wikidata Q311984 (alma) exact, image Photo%20marche%20boudouaou%2003062016.jpg
  Altava | historical | - | Wikidata Q434703 (altava) exact, image Karte%20R%C3%B6mische%20St%C3%A4dte%20in%20Nordafrika.svg
  Amal;العمل | natural | - | Wikidata Q2223551 (amal) exact, image Ammal%20-%20Boumerdes%20%D8%B9%D9%85%D8%A7%D9%84%20-%20%D8%A8%D9%88%D9%85%D8%B1%D8%AF%D8%A7%D8%B3%20-%20panoramio.jpg
  Amalou | mountain | - | Wikidata Q1657281 (amalou) exact, image Amalou.jpg
  Ancien bordj de Sidi Makhlouf | historical | - | Wikidata Q1649921 (sidi makhlouf) containment, image Sidi%20Makhlouf%20%D8%B3%D9%8A%D8%AF%D9%8A%20%D9%85%D8%AE%D9%84%D9%88%D9%81%20-%20panoramio%20%281%29.jpg
  Ancien hôpital d'Adrar | historical | - | Wikidata Q18785599 (hopital dadrar) containment, image Covid-19%20Adrar%20City%20Hospital.jpg
  Ancienne Eglise El Attaf | religious | - | Wikidata Q1029528 (el attaf) containment, image El%20Attaf%20-%20Bonne%20route%20%D8%A7%D9%84%D8%B9%D8%B7%D8%A7%D9%81%20-%20panoramio.jpg
  Ancienne synagogue de Blida | religious | - | Wikidata Q216990 (blida) containment, image Blida%20centre.jpg
  Ancient Roman theater in Khamissa | historical | - | Wikidata Q3426859 (khamissa) containment, image Thubursicum%20Numidarum%20%28Khamissa%29%2C%20Algeria%20-%2052570015687.jpg
